Property1,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20
176.9,0.235294118,0.235294118,0.235294118,-6.256055363,2353.733529,367.6470588,4.882352941,1335.194044,0.985251612,-0.052304021,0.06103328,2353.733529,0.110726644,2896,4.277378414,0.140971107,162.9411765,-14.67870932,10,0.799787123
238.3,0.222222222,0.222222222,0.222222222,-8.987654321,2274.83,352.2222222,4.777777778,1230.745928,0.498501194,-0.05069582,0.062642543,2274.83,0.098765432,2896,4.606091202,0.138365479,154.4444444,-15.03975495,10,0.018059036
191,0.210526316,0.210526316,0.210526316,-11.12465374,2204.232105,338.4210526,4.684210526,1151.320614,0.514770832,-0.049256903,0.064082409,2204.232105,0.088642659,2896,4.803817249,0.135868916,146.8421053,-15.04253261,10,0.871256535
82.5,0.181818182,0.181818182,0.181818182,-15.14049587,2030.946364,304.5454545,4.454545455,988.318997,0.876475779,-0.045725016,0.067616626,2030.946364,0.066115702,2896,5.000597279,0.12900478,128.1818182,-15.37492579,10,0.117927943
214.9,0.2,0.2,0.2,-12.8,2140.694,326,4.6,1087.602389,0.077841561,-0.047961878,0.065378288,2140.694,0.08,2896,4.919459822,0.133479189,140,-15.41438054,10,0.36965743
163.4,0.25,0.25,0.25,-2.75,2442.5,385,5,1484.387393,0.002792909,-0.054113247,0.059222861,2442.5,0.125,2896,3.648520252,0.14368556,172.5,-15.13205187,50,0.100060594
151.2,0.235294118,0.235294118,0,-4.816608997,2446.439412,398.2352941,7.941176471,1240.557152,0.997475969,-0.039026178,0.074308083,2446.439412,0.110726644,3290,3.743794233,0.031959338,118.2352941,-14.95675268,10,0.76104239
119.6,0.222222222,0.222222222,0,-8.395061728,2362.385556,381.1111111,7.666666667,1157.931414,0.236482421,-0.038155635,0.075179856,2362.385556,0.098765432,3290,4.118458637,0.031557758,112.2222222,-15.29800523,10,0.747592137
125.6,0.2,0.2,0,-13.44,2219.494,352,7.2,1061.889489,0.064699839,-0.036675711,0.076661871,2219.494,0.08,3290,4.512493571,0.030720098,102,-15.11878388,10,0.47917457
119.1,0.25,0.25,0,-0.25,2541,417.5,8.25,1378.874927,0.737700704,-0.040005539,0.073327338,2541,0.125,3290,3.075184465,0.032333549,125,-15.49658116,50,0.008527987
203.1,0.235294118,0,0,-3.930795848,2433.498235,374.7058824,7.705882353,1514.720017,0.163681376,0.0118563,0,2433.498235,0.221453287,3290,3.592803869,0.067491126,162.9411765,-14.65034438,10,0.423099247
42.6,0.235294118,0,0,-3.930795848,2433.498235,374.7058824,7.705882353,1514.720017,0.567563642,0.0118563,0,2433.498235,0.221453287,3290,3.592803869,0.067491126,162.9411765,-15.55537263,10,0.537107254
309.7,0.222222222,0,0.111111111,-10.51851852,2306.385556,344.4444444,6,1329.064215,0.678412282,0.003629946,0,2306.385556,0.197530864,3290,4.524992804,0.145149276,175.5555556,-15.50781524,10,0.395643123
76.3,0.222222222,0,0.111111111,-10.51851852,2306.385556,344.4444444,6,1329.064215,0.956534631,0.003629946,0,2306.385556,0.197530864,3290,4.524992804,0.145149276,175.5555556,-15.23077721,10,0.752118906
307.4,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.021664164,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-15.24942617,10,0.82328189
104.2,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.046647385,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-15.16373685,10,0.063683865
129.1,0.222222222,0,0.111111111,-16.69135802,2173.66,323.3333333,5.888888889,790.0115809,0.18622009,-0.010403118,0,2173.66,0.098765432,3290,5.01619902,0.131433294,150,-15.22098783,10,0.032765774
195.3,0.25,0,0,-18.5625,2083.3675,285,5.875,808.2987341,0.101212437,-0.001730104,0,2083.3675,0.125,3290,4.745123223,0.05743444,135,-14.70525771,10,0.179233238
77.3,0.25,0,0,-18.5625,2083.3675,285,5.875,808.2987341,0.02754397,-0.001730104,0,2083.3675,0.125,3290,4.745123223,0.05743444,135,-15.1666422,10,0.302980538
110.3,0.238095238,0.238095238,0.238095238,-5.66893424,2499.212857,470.952381,8.238095238,1507.436473,0.415348621,-0.052648635,0.060688439,2499.212857,0.056689342,3290,3.888228096,0.152621554,155.2380952,-14.84951624,10,0.476413252
110.9,0.217391304,0.217391304,0.217391304,-10.01890359,2363.061304,437.826087,7.782608696,1325.168361,0.07851962,-0.050101485,0.06323727,2363.061304,0.047258979,3290,4.33600565,0.147340789,142.6086957,-14.65971793,10,0.061248888
127.4,0.25,0.25,0.25,-2.75,2577.5,490,8.5,1645.855048,0.003247276,-0.054113247,0.059222861,2577.5,0.0625,3290,3.401402418,0.155466769,162.5,-15.16881927,50,0.354324749
124.4,0.188679245,0,0,-3.987184051,2433.026604,367.3584906,9.603773585,1507.754874,0.704951642,0.026044763,0,2433.026604,0.14239943,3290,4.06354141,0.082294365,149.6226415,-15.44333572,10,0.666328324
139.4,0.181818182,0,0,-7.669421488,2378.497273,357.2727273,9.363636364,1442.851481,0.741371085,0.024248357,0,2378.497273,0.132231405,3290,4.434690441,0.082648043,144.5454545,-14.88633541,10,0.167758724
155.6,0.173913043,0,0,-11.55387524,2315.67,345.6521739,9.086956522,1385.413479,0.794627764,0.022178585,0,2315.67,0.120982987,3290,4.786328956,0.082849093,138.6956522,-15.10405312,10,0.027530222
168,0.166666667,0,0,-14.77777778,2258.078333,335,8.833333333,1344.062896,0.173669577,0.020281294,0,2258.078333,0.111111111,3290,5.048052555,0.082844929,133.3333333,-15.04451378,10,0.771663475
108.4,0.2,0,0,2.72,2523,384,10,1664.585912,0.139223115,0.029008833,0,2523,0.16,3290,3.219960136,0.081330099,158,-15.57846865,80,0.840695106
255,0.28,0.04,0,-4.864,2316.4882,336.2,6.58,1533.002485,0.243771957,0.012422643,0.125622509,2316.4882,0.208,3290,3.721273344,0.071120436,171.8,-14.93679439,10,0.546801385
21.5,0.28,0.04,0,-4.864,2316.4882,336.2,6.58,1533.002485,0.417816358,0.012422643,0.125622509,2316.4882,0.208,3290,3.721273344,0.071120436,171.8,-14.85234748,10,0.922268296
88,0.28,0.04,0,-4.864,2316.4882,336.2,6.58,1533.002485,0.82175012,0.012422643,0.125622509,2316.4882,0.208,3290,3.721273344,0.071120436,171.8,-14.78335547,10,0.707329905
242.9,0.28,0,0,-4.4096,2360.7682,351.4,7.14,1575.666786,0.489648495,0.016020761,0,2360.7682,0.208,3290,3.533143233,0.069084424,173,-14.94908788,10,0.82388059
29.2,0.28,0,0,-4.4096,2360.7682,351.4,7.14,1575.666786,0.668943608,0.016020761,0,2360.7682,0.208,3290,3.533143233,0.069084424,173,-15.04235402,10,0.852075631
44.7,0.28,0,0,-4.4096,2360.7682,351.4,7.14,1575.666786,0.800679965,0.016020761,0,2360.7682,0.208,3290,3.533143233,0.069084424,173,-15.56476528,10,0.425791094
202.5,0.2,0,0,-6.3296,2397.1976,363.2,8.8,1420.935298,0.080576365,0.020035057,0,2397.1976,0.16,3290,4.26239562,0.078332775,150.8,-15.08265794,10,0.617407577
32.8,0.2,0,0,-6.3296,2397.1976,363.2,8.8,1420.935298,0.088727985,0.020035057,0,2397.1976,0.16,3290,4.26239562,0.078332775,150.8,-14.89575216,10,0.183229039
87.6,0.2,0,0,-6.3296,2397.1976,363.2,8.8,1420.935298,0.593845238,0.020035057,0,2397.1976,0.16,3290,4.26239562,0.078332775,150.8,-15.5826,10,0.929214406
269.2,0.319148936,0.042553191,0,-9.470348574,2199.539362,299.1489362,5.744680851,1180.033536,0.1933889,0.007141809,0.120365416,2199.539362,0.181077411,3290,4.073472841,0.067842233,168.0851064,-15.48423016,10,0.107219478
29.1,0.3,0.04,0,-8.6176,2264.967,326.8,6.54,1143.666674,0.214883976,0.005311917,0.118543491,2264.967,0.16,3290,4.131196346,0.06585749,162.8,-15.01774207,10,0.540033209
105.3,0.3,0.04,0,-8.6176,2264.967,326.8,6.54,1143.666674,0.345596332,0.005311917,0.118543491,2264.967,0.16,3290,4.131196346,0.06585749,162.8,-14.63331461,10,0.640715766
279.8,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.080238243,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-15.214454,10,0.997352016
104.2,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.654607149,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-14.65155017,10,0.28174754
223.4,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.436615242,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-15.34717813,10,0.474617217
186.9,0.3,0,0,-15.12,2135.794,281,5.6,656.3201755,0.694920165,-0.003719723,0,2135.794,0.18,3290,4.331384053,0.052439149,145,-14.95575032,10,0.120608554
58.8,0.3,0,0,-15.12,2135.794,281,5.6,656.3201755,0.980912797,-0.003719723,0,2135.794,0.18,3290,4.331384053,0.052439149,145,-14.60864575,10,0.353382457
106.3,0.3,0,0,-15.12,2135.794,281,5.6,656.3201755,0.184309396,-0.003719723,0,2135.794,0.18,3290,4.331384053,0.052439149,145,-15.3471986,10,0.315288845
202.5,0.2,0,0,-6.3296,2397.1976,363.2,8.8,1420.935298,0.180499034,0.020035057,0,2397.1976,0.16,3290,4.26239562,0.078332775,150.8,-15.52749912,10,0.23942196
9.8,0.2,0,0,-6.3296,2397.1976,363.2,8.8,1420.935298,0.120456924,0.020035057,0,2397.1976,0.16,3290,4.26239562,0.078332775,150.8,-15.02435653,10,0.300569234
32.8,0.2,0,0,-6.3296,2397.1976,363.2,8.8,1420.935298,0.557519075,0.020035057,0,2397.1976,0.16,3290,4.26239562,0.078332775,150.8,-15.20227434,10,0.680500004
87.6,0.2,0,0,-6.3296,2397.1976,363.2,8.8,1420.935298,0.583294719,0.020035057,0,2397.1976,0.16,3290,4.26239562,0.078332775,150.8,-15.29205591,10,0.245979852
279.8,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.800961053,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-14.62849929,10,0.225215725
35,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.576431534,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-15.4622332,10,0.829913788
104.2,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.290215941,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-15.04472976,10,0.056188472
223.4,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.907966684,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-15.56028877,10,0.062993111
232.4,0.4,0.1,0,-10.96,2074.047,351,4.6,2391.29085,0.247172898,-0.045722052,0.067586899,2074.047,0.16,2750,4.493145453,0.029435614,194,-14.80309139,10,0.425300189
215,0.4,0.1,0,-10.96,2074.047,351,4.6,2391.29085,0.880309892,-0.045722052,0.067586899,2074.047,0.16,2750,4.493145453,0.029435614,194,-15.47814182,10,0.875413373
15.6,0.4,0.1,0,-10.96,2074.047,351,4.6,2391.29085,0.072347506,-0.045722052,0.067586899,2074.047,0.16,2750,4.493145453,0.029435614,194,-14.71479483,10,0.821214028
77.2,0.4,0.1,0,-10.96,2074.047,351,4.6,2391.29085,0.941541916,-0.045722052,0.067586899,2074.047,0.16,2750,4.493145453,0.029435614,194,-15.11782417,10,0.231746807
161.3,0.4,0.1,0,-10.96,2074.047,351,4.6,2391.29085,0.789591728,-0.045722052,0.067586899,2074.047,0.16,2750,4.493145453,0.029435614,194,-15.52508888,10,0.214856703
230.6,0.222222222,0.222222222,0,-15.40740741,1977.215556,311.1111111,4.444444444,1689.17468,0.182533057,-0.050773921,0.062548277,1977.215556,0.098765432,2750,5.160180766,0.023496636,131.1111111,-14.96705777,10,0.799261793
7.1,0.222222222,0.222222222,0,-15.40740741,1977.215556,311.1111111,4.444444444,1689.17468,0.318446029,-0.050773921,0.062548277,1977.215556,0.098765432,2750,5.160180766,0.023496636,131.1111111,-15.48806148,10,0.67928675
113.5,0.222222222,0.222222222,0,-15.40740741,1977.215556,311.1111111,4.444444444,1689.17468,0.83543221,-0.050773921,0.062548277,1977.215556,0.098765432,2750,5.160180766,0.023496636,131.1111111,-14.80469427,10,0.512664546
178.2,0.222222222,0.222222222,0,-15.40740741,1977.215556,311.1111111,4.444444444,1689.17468,0.587353879,-0.050773921,0.062548277,1977.215556,0.098765432,2750,5.160180766,0.023496636,131.1111111,-15.48019525,10,0.000333715
290.1,0.181818182,0.181818182,0,-13.75206612,2014.085455,400,4.727272727,2787.760842,0.350507722,-0.066437023,0.046869643,2014.085455,0.066115702,2750,5.062146714,0.025234531,165.4545455,-15.26147467,10,0.800088967
12.8,0.181818182,0.181818182,0,-13.75206612,2014.085455,400,4.727272727,2787.760842,0.515121868,-0.066437023,0.046869643,2014.085455,0.066115702,2750,5.062146714,0.025234531,165.4545455,-15.36819479,10,0.88452059
165.5,0.181818182,0.181818182,0,-13.75206612,2014.085455,400,4.727272727,2787.760842,0.152908524,-0.066437023,0.046869643,2014.085455,0.066115702,2750,5.062146714,0.025234531,165.4545455,-14.97736525,10,0.774381914
233.8,0.181818182,0.181818182,0,-13.75206612,2014.085455,400,4.727272727,2787.760842,0.692352796,-0.066437023,0.046869643,2014.085455,0.066115702,2750,5.062146714,0.025234531,165.4545455,-14.84111775,10,0.554015751
269.2,0.2,0.2,0,-14.56,1997.494,360,4.6,2257.29083,0.08192297,-0.059388627,0.053925028,1997.494,0.08,2750,5.158519857,0.02468835,150,-14.793006,10,0.136225822
11.3,0.2,0.2,0,-14.56,1997.494,360,4.6,2257.29083,0.931974978,-0.059388627,0.053925028,1997.494,0.08,2750,5.158519857,0.02468835,150,-15.57378974,10,0.121177227
149.4,0.2,0.2,0,-14.56,1997.494,360,4.6,2257.29083,0.844037757,-0.059388627,0.053925028,1997.494,0.08,2750,5.158519857,0.02468835,150,-15.00939292,10,0.104956378
176.3,0.2,0.2,0,-14.56,1997.494,360,4.6,2257.29083,0.101406211,-0.059388627,0.053925028,1997.494,0.08,2750,5.158519857,0.02468835,150,-15.04074742,10,0.789181489
181.9,0.25,0.25,0,-16.25,1951.8675,250,4.25,1284.705743,0.007360456,-0.040005539,0.073327338,1951.8675,0.125,2750,4.813901909,0.021028852,107.5,-14.9149189,10,0.023952104
20,0.25,0.25,0,-16.25,1951.8675,250,4.25,1284.705743,0.502331138,-0.040005539,0.073327338,1951.8675,0.125,2750,4.813901909,0.021028852,107.5,-15.41234506,10,0.088304083
101.9,0.25,0.25,0,-16.25,1951.8675,250,4.25,1284.705743,0.514764102,-0.040005539,0.073327338,1951.8675,0.125,2750,4.813901909,0.021028852,107.5,-14.81581747,10,0.197971216
141.9,0.25,0.25,0,-16.25,1951.8675,250,4.25,1284.705743,0.446593525,-0.040005539,0.073327338,1951.8675,0.125,2750,4.813901909,0.021028852,107.5,-14.91066325,10,0.829058775
16,0.2,0,0.2,-13.6,2140.094,410,4.8,1889.025669,0.628260046,-0.052684204,0,2140.094,0.08,2896,5.013467152,0.131994639,194,-15.44115484,10,0.672478392
90.5,0.2,0,0.2,-13.6,2140.094,410,4.8,1889.025669,0.859199443,-0.052684204,0,2140.094,0.08,2896,5.013467152,0.131994639,194,-15.43239165,10,0.317842905
131,0.2,0,0.2,-13.6,2140.094,410,4.8,1889.025669,0.515576482,-0.052684204,0,2140.094,0.08,2896,5.013467152,0.131994639,194,-15.3348909,10,0.138921211
161.4,0.2,0,0.2,-13.6,2140.094,410,4.8,1889.025669,0.027686401,-0.052684204,0,2140.094,0.08,2896,5.013467152,0.131994639,194,-15.47788133,10,0.457951945
164.5,0.2,0,0.2,-13.6,2140.094,410,4.8,1889.025669,0.197002075,-0.052684204,0,2140.094,0.08,2896,5.013467152,0.131994639,194,-15.49765641,10,0.733741998
22.8,0.2,0,0.2,-13.6,2140.094,410,4.8,1889.025669,0.269908305,-0.052684204,0,2140.094,0.08,2896,5.013467152,0.131994639,194,-14.7880545,10,0.858039467
83.8,0.2,0,0.2,-13.6,2140.094,410,4.8,1889.025669,0.060519819,-0.052684204,0,2140.094,0.08,2896,5.013467152,0.131994639,194,-14.77949349,10,0.257313672
133.2,0.2,0,0.2,-13.6,2140.094,410,4.8,1889.025669,0.302846025,-0.052684204,0,2140.094,0.08,2896,5.013467152,0.131994639,194,-15.26335598,10,0.582861467
141.6,0.2,0,0.2,-13.6,2140.094,410,4.8,1889.025669,0.046288675,-0.052684204,0,2140.094,0.08,2896,5.013467152,0.131994639,194,-15.23565504,10,0.930555055
16.7,0.25,0,0.25,-14,1987.6175,427.5,4.75,2486.28839,0.920232655,-0.060016154,0,1987.6175,0,2896,4.423065465,0.140478087,212.5,-14.87205186,10,0.467905108
62.7,0.25,0,0.25,-14,1987.6175,427.5,4.75,2486.28839,0.597896618,-0.060016154,0,1987.6175,0,2896,4.423065465,0.140478087,212.5,-15.20311326,10,0.461951764
146.3,0.25,0,0.25,-14,1987.6175,427.5,4.75,2486.28839,0.203157074,-0.060016154,0,1987.6175,0,2896,4.423065465,0.140478087,212.5,-14.91376539,10,0.005097058
170.5,0.25,0,0.25,-14,1987.6175,427.5,4.75,2486.28839,0.835611079,-0.060016154,0,1987.6175,0,2896,4.423065465,0.140478087,212.5,-14.99104906,10,0.461691209
178.9,0.25,0,0.25,-14,1987.6175,427.5,4.75,2486.28839,0.652154148,-0.060016154,0,1987.6175,0,2896,4.423065465,0.140478087,212.5,-15.06165144,10,0.259871593
31,0.25,0,0.25,-15.25,2130.1175,312.5,4.5,793.9831613,0.458838786,-0.031625009,0,2130.1175,0.125,2896,4.699292203,0.145374775,162.5,-15.36572746,10,0.64228706
83.6,0.25,0,0.25,-15.25,2130.1175,312.5,4.5,793.9831613,0.633247757,-0.031625009,0,2130.1175,0.125,2896,4.699292203,0.145374775,162.5,-15.55112686,10,0.653886922
77.4,0.25,0,0.25,-15.25,2130.1175,312.5,4.5,793.9831613,0.384779536,-0.031625009,0,2130.1175,0.125,2896,4.699292203,0.145374775,162.5,-14.75989912,10,0.766262848
80.5,0.25,0,0.25,-15.25,2130.1175,312.5,4.5,793.9831613,0.736003691,-0.031625009,0,2130.1175,0.125,2896,4.699292203,0.145374775,162.5,-14.74797775,10,0.194451139
279.8,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.790874962,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-15.05101594,10,0.276685603
35,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.365083783,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-15.0033896,10,0.659078545
104.2,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.365066084,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-15.1699127,10,0.013407384
223.4,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.366866342,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-14.71089428,10,0.584748398
261.6,0.2,0,0.1,-16.84,2169.094,319,5.7,1187.974036,0.552003465,0.000931311,0,2169.094,0.16,3290,5.017130868,0.137556471,159,-15.34863199,10,0.105855062
185.6,0.25,0.25,0,-16.25,1951.8675,250,4.25,1284.705743,0.414159205,-0.040005539,0.073327338,1951.8675,0.125,2750,4.813901909,0.021028852,107.5,-14.78323946,10,0.901118528
28.7,0.25,0.25,0,-16.25,1951.8675,250,4.25,1284.705743,0.773563595,-0.040005539,0.073327338,1951.8675,0.125,2750,4.813901909,0.021028852,107.5,-15.29893857,10,0.418526584
124.6,0.25,0.25,0,-16.25,1951.8675,250,4.25,1284.705743,0.818770747,-0.040005539,0.073327338,1951.8675,0.125,2750,4.813901909,0.021028852,107.5,-15.42986307,10,0.473464284
